,Name,Color,Price,Pre Sale Price,Link
0,Elevate Leggings,Black,64.0,,https://us.shop.gymshark.com/products/gymshark-elevate-leggings-black-aw22
1,Vital Seamless 2.0 Shorts,Evening Blue Marl,40.0,,https://us.shop.gymshark.com/products/gymshark-vital-seamless-2-0-shorts-evening-blue-marl-ss23
2,Adapt Animal Seamless Leggings,Wild | Navy,64.0,,https://us.shop.gymshark.com/products/gymshark-adapt-animal-seamless-leggings-wild-navy-aw22
3,Adapt Camo Seamless Shorts,Lava | Black/Onyx Grey,48.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-shorts-black-onyx-grey-aw22
4,Elevate Flared Leggings,Black,68.0,,https://us.shop.gymshark.com/products/gymshark-elevate-flared-leggings-black-aw22
5,Adapt Fleck Seamless Leggings,Chocolate Brown,60.0,,https://us.shop.gymshark.com/products/gymshark-adapt-fleck-seamless-leggings-chocolate-brown-ss23
6,Elevate Longline Sports Bra,Black,44.0,,https://us.shop.gymshark.com/products/gymshark-elevate-longline-sports-bra-black-aw22
7,Fraction Oversized T-Shirt,Hoya Green,30.0,,https://us.shop.gymshark.com/products/gymshark-fraction-oversized-t-shirt-hoya-green-aw22
8,Training Loose Fit Shorts,Black,28.0,,https://us.shop.gymshark.com/products/gymshark-training-loose-fit-shorts-black-ss22
9,GS Power Original Tight Shorts,Black,46.0,,https://us.shop.gymshark.com/products/gs-power-original-tight-shorts-black-aw22
10,Ruched Sports Bra,White,30.0,,https://us.shop.gymshark.com/products/gymshark-ruched-sports-bra-white-ss22
11,Legacy Leggings,Black,54.0,,https://us.shop.gymshark.com/products/gymshark-legacy-leggings-black-aw22
12,Vital Seamless 2.0 Shorts,Black Marl,40.0,,https://us.shop.gymshark.com/products/gymshark-vital-seamless-shorts-black-marl-logo
13,Bandeau Sports Bra,Black,30.0,,https://us.shop.gymshark.com/products/gymshark-bandeau-sports-bra-black-ss22
14,Flex Shorts,Charcoal Grey/Medallion Yellow,25.2,36.0,https://us.shop.gymshark.com/products/gymshark-flex-shorts-charcoal-grey-medallion-yellow-aw22
15,Rest Day Seamless Bralette,Black,38.0,,https://us.shop.gymshark.com/products/gymshark-rest-day-seamless-bralette-black-aw22
16,Rest Day Seamless Bralette,Charred Blue,38.0,,https://us.shop.gymshark.com/products/gymshark-rest-day-seamless-bralette-charred-blue-aw22
17,Adapt Camo Seamless Shorts,Moss Olive/Core Olive,48.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-shorts-moss-olive-core-olive-aw22
18,Vital Seamless 2.0 Leggings,Stellar Blue Marl,54.0,,https://us.shop.gymshark.com/products/gymshark-vital-seamless-2-0-leggings-stellar-blue-marl-aw22
19,Adapt Camo Seamless Leggings,Moss Olive/Core Olive,64.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-leggings-moss-olive-core-olive-aw22
20,Crossover Leggings,Black,50.0,,https://us.shop.gymshark.com/products/gymshark-crossover-leggings-black-ss23
21,Crew Socks 5pk,White,24.0,,https://us.shop.gymshark.com/products/gymshark-crew-socks-5pk-white-ss23
22,Legacy Sports Bra,Pebble Grey,38.0,,https://us.shop.gymshark.com/products/gymshark-legacy-sports-bra-pebble-grey-aw22
23,Training Leggings,Black,38.0,,https://us.shop.gymshark.com/products/gymshark-training-leggings-black-ss22
24,Adapt Fleck Seamless Leggings,Evening Blue,60.0,,https://us.shop.gymshark.com/products/gymshark-adapt-fleck-seamless-leggings-evening-blue-ss23
25,Elevate Longline Sports Bra,Willow Green,44.0,,https://us.shop.gymshark.com/products/gymshark-elevate-longline-sports-bra-willow-green-ss23
